id,x,y
93,669136.5858552,2722738.5672701523
94,668117.5495575201,2722795.136615884
95,668171.2032689573,2722806.739623919
96,665592.5681658676,2722830.9975334
97,664498.9621664872,2721926.4228227027
98,655674.2450633589,2722342.735756574
99,655751.9654752882,2722860.5411278456
100,657219.5242246259,2721907.1884578117
101,655735.0330515197,2722874.263554136
102,655655.5370003646,2722342.526646104
103,658253.8573418884,2723084.129775049
104,662811.7864754172,2723765.098561866
105,662885.345818554,2723873.6688811034
106,662708.9657106539,2723878.827769812
107,662731.1803538529,2723910.977240756
108,666874.3315531183,2723926.241753433
109,667466.0215296308,2723416.3224509023
110,643046.4427952459,2724171.9592451192
111,643062.8071663417,2724188.38658439
112,642821.6142981555,2724604.4367889967
113,642808.239460025,2724607.478219269
114,643438.2030939814,2724619.4411386065
115,663332.4235138167,2724620.372443104
116,642716.2895901222,2724745.888904652
117,659430.1822722489,2724970.68692578
118,661450.8913171934,2722838.550283812
119,643869.9195039747,2725177.2978573684
120,644542.696175375,2725051.6403650567
121,643961.9471664792,2725197.599338576
122,643886.0145653598,2725214.656677984
123,656013.334986777,2725215.65783782
124,658246.1580187269,2723062.166315986
125,655995.7946604295,2725221.5087992046
126,656019.3808868192,2725241.6885947566
127,656002.7869441546,2725251.626254307
128,643886.8488974255,2725329.731194068
129,658745.2746748114,2725538.3553825803
130,642808.4435018599,2724680.31400184
131,643011.4837509682,2725624.465367738
132,642972.3662269078,2725626.4998198785
133,642795.0925357379,2724686.955282375
134,643767.0126749417,2725683.502693329
135,656143.998722163,2725872.31237676
136,656174.6011462202,2725894.144163117
137,649620.7926888661,2726218.3965389784
138,649649.7306771679,2726234.812526066
139,649625.0320399906,2726277.8761550803
140,660476.5311451191,2726677.84479608
141,662684.4600852234,2723899.7309820447
142,662700.1597563224,2723927.905260546
143,660486.782969744,2726685.1518541053
144,643464.2497649472,2726795.270670831
145,664297.0056369472,2726874.4571480826
146,664301.621410301,2726885.643890746
147,667465.8394978307,2723431.4539777134
