id,x,y
75,338976.00756707136,4289259.006714532
76,339021.16795292683,4289309.474764483
77,337991.8907642188,4289311.151013903
78,339075.06755456515,4289314.845864119
79,338904.9998012427,4289317.455278454
80,338853.8209308144,4289290.580307096
81,344048.66272514407,4289349.6489808615
82,343783.6844404256,4288470.023539837
83,344164.1868135212,4289116.617701575
84,338533.0189326834,4289386.859587621
85,338504.73713753466,4289099.669056159
86,338897.4648698671,4289388.508000594
87,340808.7577406289,4289408.0181869045
88,340886.7928688852,4289423.387954704
89,339868.55763276946,4289518.894013615
90,339885.51784337685,4289404.198268354
91,339888.5099350512,4289464.723640071
92,344019.1250747424,4289532.335375378
93,340395.3204934038,4289548.497903798
94,339041.70244183857,4289568.389677875
95,339096.46942060813,4289591.795821505
96,339106.20890206005,4289612.038376678
97,340233.8197046025,4289684.224217761
98,344181.9630473843,4289725.794806611
99,339686.22157832794,4289748.644406004
100,339047.5601000311,4289730.677458275
101,338401.0103990501,4289750.614726014
102,337864.91057120264,4289685.43889853
103,337813.0716995355,4289513.263169052
104,339208.3908757232,4289771.390243616
105,344581.88602021337,4289775.6455602925
106,338684.681357353,4289797.36012527
107,338503.35769120045,4289730.316905266
108,339645.64899460506,4289802.487244278
109,340774.0039407844,4289902.843984762
110,339298.52554193325,4289907.027647439
111,339278.3460436659,4289916.994572293
112,339023.5839802902,4289951.323889801
113,339153.1939485455,4289922.710931491
114,340225.9104765356,4289819.443107996
115,339915.7180640204,4289984.910344398
116,338896.3883396983,4289986.19629078
117,339646.8005114049,4290014.430842053
118,339499.6424139943,4289948.564255187
119,340462.6571311876,4289925.692076528
120,339033.98685293086,4290093.713025551
121,341685.63201854937,4290170.939839389
122,341398.6015752433,4289476.305801963
123,338965.92819291353,4290185.364720978
124,337880.0449647894,4290191.160938252
125,337775.9926961409,4290231.109018587
126,337887.4841573462,4290327.481500108
127,344204.0453042183,4290467.313642627
128,343488.0390792284,4290286.309287338
129,339281.25432168506,4290685.145732522
130,339453.7423374308,4290922.284039069
131,344271.411630936,4291081.060369633
132,344448.93268195353,4290977.777620094
133,338347.3360570343,4291662.311953392
134,341421.4920835206,4291665.950822856
135,341201.1503048483,4291483.841807831
136,338281.2853765553,4291703.302512057
137,338405.91337044537,4291767.671768568
138,341812.51718467195,4292065.402254814
139,341160.7419825606,4290393.570529807
140,342027.2663416527,4292177.13863669
141,340926.0744603239,4292309.048973139
142,340935.94949563686,4292290.410335682
143,340947.5964878546,4292306.453270588
144,341914.95484371297,4292563.466011221
145,337276.89152694214,4292611.719133951
146,340810.5683394857,4292630.365659162
147,340809.7339450503,4292595.221211357
148,340906.46991233714,4292681.392232016
149,340260.7463484574,4292750.502062876
150,340428.7352795871,4292169.747607525
151,338968.3953280477,4292790.25333494
152,342158.6010096362,4292912.951668972
153,340539.4133705478,4293098.349473942
154,340776.10406910256,4292579.119293787
155,340298.8393105939,4293101.071809139
156,340207.0454629455,4292948.294133421
157,340471.9405868221,4293125.095055781
